cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
2.0,4.0,12.1,3.0,1656238080,22.1,1747364540.114476
9.2,20.8,8.1,3.0,1655205888,22.1,1747364541.115892
1.0,9.9,4.1,2.0,1655463936,22.1,1747364542.117195
22.3,11.1,18.0,14.3,1677524992,22.3,1747364543.118292
5.2,11.9,7.1,9.3,1681833984,22.4,1747364544.119303
3.0,9.0,8.1,6.1,1682489344,22.4,1747364545.121126
8.4,9.2,7.0,6.1,1682124800,22.4,1747364546.123234
6.3,10.0,3.0,10.1,1679966208,22.4,1747364547.124481
7.2,4.0,5.0,4.1,1679794176,22.4,1747364548.125529
10.0,8.2,8.1,10.0,1679892480,22.4,1747364549.126537
14.3,16.0,15.3,14.1,1693646848,22.5,1747364550.127622
9.2,10.2,9.0,10.1,1704144896,22.7,1747364551.128652
59.8,67.3,71.7,57.0,1735991296,23.1,1747364552.139039
85.0,70.4,89.9,90.1,1760854016,23.4,1747364553.142746
79.0,93.9,75.0,99.0,1844744192,24.4,1747364554.152377
88.8,93.0,100.0,96.0,1919770624,25.3,1747364555.155425
85.7,91.1,100.0,96.0,1916968960,25.3,1747364556.167675
97.0,93.9,98.0,98.0,1921273856,25.3,1747364557.170317
25.5,23.7,100.0,100.0,1955057664,25.7,1747364558.173089
83.8,22.7,38.4,100.0,1941364736,25.6,1747364559.175312
95.0,47.4,45.5,94.9,1936375808,25.5,1747364560.179021
91.9,94.1,86.6,100.0,2019401728,26.5,1747364561.182297
100.0,100.0,91.9,100.0,2074644480,27.2,1747364562.185463
99.0,100.0,100.0,92.9,2067374080,27.1,1747364563.193729
100.0,100.0,100.0,98.0,2099744768,27.5,1747364564.199235
100.0,84.0,100.0,100.0,2101551104,27.5,1747364565.201296
99.0,84.5,100.0,98.0,2147528704,28.1,1747364566.203673
87.9,97.0,100.0,100.0,2181234688,28.5,1747364567.205439
26.3,96.1,100.0,81.8,2203541504,28.8,1747364568.206769
27.8,96.9,86.0,16.5,2189651968,28.6,1747364569.208171
100.0,95.0,38.4,17.2,2213236736,28.9,1747364570.209875
100.0,96.0,25.8,3.1,2201042944,28.7,1747364571.211194
88.9,96.0,33.7,42.9,2236280832,29.2,1747364572.213866
58.6,95.0,63.6,86.0,2253910016,29.4,1747364573.215209
61.9,97.0,35.4,30.6,2214322176,28.9,1747364574.217547
97.0,93.9,61.9,67.0,2237620224,29.2,1747364575.219018
62.2,96.0,45.1,55.1,2247737344,29.3,1747364576.220261
12.5,96.0,33.3,22.0,2252697600,29.4,1747364577.221337
37.8,98.0,26.3,29.6,2260652032,29.5,1747364578.222554
25.5,95.0,18.0,14.0,2265780224,29.5,1747364579.223847
31.3,96.0,22.4,21.4,2271989760,29.6,1747364580.224915
23.0,96.0,9.0,20.4,2276438016,29.7,1747364581.226304
33.3,97.0,29.6,18.2,2284072960,29.8,1747364582.227546
39.8,95.0,28.9,31.6,2290950144,29.8,1747364583.228762
9.3,90.9,17.0,30.9,2293841920,29.9,1747364584.230272
97.0,31.3,28.1,22.4,2301427712,30.0,1747364585.232013
96.1,19.6,8.3,29.7,2303700992,30.0,1747364586.233406
96.0,19.6,26.0,32.3,2306158592,30.0,1747364587.237065
88.9,10.2,17.3,33.7,2311643136,30.1,1747364588.2398
35.7,29.3,40.6,97.0,2325766144,30.3,1747364589.24158
69.9,45.0,63.0,76.2,2339745792,30.4,1747364590.242949
97.0,21.4,16.3,24.5,2341351424,30.5,1747364591.244411
97.0,30.6,32.0,36.7,2345902080,30.5,1747364592.245738
96.0,32.3,27.5,36.4,2489581568,32.3,1747364593.247726
96.0,25.3,17.5,24.5,2508976128,32.5,1747364594.249249
97.0,31.3,37.4,27.6,2513076224,32.5,1747364595.253746
95.9,42.0,22.1,10.1,2516856832,32.6,1747364596.25595
96.0,89.1,94.9,86.1,2529161216,32.7,1747364597.258174
96.0,71.1,76.8,64.0,2535874560,32.8,1747364598.262395
97.0,82.0,96.0,75.5,2542698496,32.9,1747364599.263994
97.9,84.4,91.8,90.0,2551599104,33.0,1747364600.266464
96.0,96.0,95.9,89.8,2559705088,33.1,1747364601.267659
95.1,73.7,37.8,29.3,2560823296,33.1,1747364602.269204
97.0,28.9,23.7,85.0,2560983040,33.1,1747364603.270751
95.0,25.5,21.9,31.0,2561945600,33.1,1747364604.271931
13.1,14.9,21.9,95.0,2563444736,33.2,1747364605.274455
14.3,15.5,32.7,96.0,2563665920,33.2,1747364606.275639
24.0,70.9,10.3,39.0,2566787072,33.2,1747364607.277315
19.8,96.9,12.2,12.1,2567700480,33.2,1747364608.278524
23.4,96.0,13.1,39.8,2567757824,33.2,1747364609.280238
47.0,96.0,17.5,18.0,2570698752,33.3,1747364610.282347
30.0,97.0,24.5,17.2,2572816384,33.3,1747364611.283491
27.8,21.0,17.8,93.1,2575163392,33.3,1747364612.284619
19.6,27.3,12.1,96.0,2577559552,33.3,1747364613.285991
23.0,8.2,23.0,94.9,2577981440,33.3,1747364614.287155
6.2,9.1,18.4,96.0,2579873792,33.4,1747364615.288257
8.2,13.3,28.3,96.0,2578714624,33.4,1747364616.289597
12.4,15.2,27.0,95.0,2581016576,33.4,1747364617.293681
8.3,14.4,9.9,97.0,2580164608,33.4,1747364618.294944
13.1,19.8,6.1,95.0,2580480000,33.4,1747364619.296325
18.4,25.5,17.8,74.7,2582511616,33.4,1747364620.297684
18.9,96.0,29.3,7.1,2583252992,33.4,1747364621.298846
14.1,94.1,20.0,27.6,2588454912,33.5,1747364622.300007
6.3,96.1,16.2,17.0,2588352512,33.5,1747364623.301179
8.2,96.0,19.8,0.0,2588459008,33.5,1747364624.302272
16.5,95.0,23.0,12.6,2590699520,33.5,1747364625.306273
15.3,96.0,21.0,9.1,2590728192,33.5,1747364626.307838
17.0,96.0,34.7,14.1,2592571392,33.5,1747364627.309141
12.0,87.0,13.9,23.8,2592681984,33.5,1747364628.310278
13.1,96.0,7.1,9.2,2593329152,33.5,1747364629.311511
19.8,96.0,9.1,16.3,2593996800,33.5,1747364630.312709
20.6,97.0,11.8,10.9,2594168832,33.5,1747364631.313903
22.9,96.0,18.6,25.3,2596319232,33.6,1747364632.315085
12.2,69.3,40.4,11.2,2595938304,33.6,1747364633.316954
6.1,18.2,85.3,20.0,2595835904,33.6,1747364634.31838
13.1,11.0,96.0,14.0,2597650432,33.6,1747364635.319969
7.3,57.6,47.0,18.2,2597179392,33.6,1747364636.325236
29.9,96.0,21.6,24.5,2598920192,33.6,1747364637.326463
15.3,96.9,9.9,8.2,2603339776,33.7,1747364638.327635
26.5,96.1,6.1,2.1,2603110400,33.6,1747364639.329009
16.8,96.0,12.1,11.0,2604441600,33.7,1747364640.330355
21.0,96.0,4.2,5.2,2602631168,33.6,1747364641.331537
28.0,97.0,21.4,23.5,2602987520,33.6,1747364642.332848
5.1,96.0,8.0,21.2,2603069440,33.6,1747364643.337585
15.5,96.0,9.1,10.0,2603163648,33.6,1747364644.339218
22.2,95.0,10.3,6.5,2605662208,33.7,1747364645.340783
8.1,97.0,6.2,15.5,2606092288,33.7,1747364646.342372
25.0,94.1,26.3,23.0,2606260224,33.7,1747364647.34351
14.3,95.9,10.3,12.1,2606432256,33.7,1747364648.345212
18.2,97.0,9.0,6.2,2606854144,33.7,1747364649.347896
19.4,95.0,13.1,12.4,2608304128,33.7,1747364650.349374
19.4,96.9,18.0,5.3,2608238592,33.7,1747364651.350735
24.5,96.0,23.2,20.2,2609651712,33.7,1747364652.352104
20.8,96.0,15.5,3.0,2610057216,33.7,1747364653.353375
16.3,20.4,14.4,80.0,2610196480,33.7,1747364654.354528
19.2,6.1,15.2,95.9,2610900992,33.7,1747364655.355621
12.4,12.2,13.0,96.9,2610655232,33.7,1747364656.35698
23.2,15.0,19.1,94.9,2612183040,33.8,1747364657.35876
23.0,6.9,17.3,96.0,2526765056,32.7,1747364658.359858
20.2,60.6,13.4,95.9,2757316608,35.5,1747364659.361016
26.3,23.8,9.1,97.0,2808971264,36.2,1747364660.36217
6.1,16.2,15.2,96.0,2810261504,36.2,1747364661.363346
23.7,33.7,16.0,96.0,2829168640,36.4,1747364662.36445
26.3,17.8,15.2,95.9,2833317888,36.5,1747364663.365932
20.2,19.0,23.5,95.1,2842669056,36.6,1747364664.367493
25.3,20.6,14.1,96.9,2846883840,36.6,1747364665.369035
16.5,92.2,13.7,9.0,2848591872,36.6,1747364666.370332
23.0,96.0,18.7,13.9,2851020800,36.7,1747364667.371869
29.9,96.0,33.3,69.0,2868436992,36.9,1747364668.373402
18.8,98.0,30.3,51.5,2869665792,36.9,1747364669.374902
34.3,96.0,25.0,58.0,2871824384,36.9,1747364670.376456
19.6,97.0,56.7,46.3,2871799808,36.9,1747364671.378477
31.6,95.1,50.0,38.1,2873085952,36.9,1747364672.379922
44.0,96.0,40.2,28.3,2873819136,37.0,1747364673.381439
72.2,96.0,24.7,18.0,2875699200,37.0,1747364674.382804
76.8,96.0,35.9,24.7,2876981248,37.0,1747364675.383991
17.5,97.0,36.0,32.3,2877571072,37.0,1747364676.385137
34.0,96.0,28.9,46.5,2879901696,37.0,1747364677.386734
44.6,97.0,34.0,30.3,2881343488,37.0,1747364678.387881
41.2,95.1,22.4,28.7,2882101248,37.1,1747364679.389975
31.2,96.0,25.3,19.2,2866364416,36.9,1747364680.391262
21.8,97.0,16.2,11.3,2865942528,36.9,1747364681.392398
28.9,95.9,16.2,14.0,2865995776,36.9,1747364682.393575
4.2,96.0,17.3,20.6,2867093504,36.9,1747364683.394637
11.3,96.0,9.3,13.1,2867191808,36.9,1747364684.39594
27.3,88.9,27.6,14.1,2886180864,37.1,1747364685.397154
96.0,18.0,8.2,6.2,2868908032,36.9,1747364686.398473
95.9,14.3,22.0,17.8,2870173696,36.9,1747364687.399752
96.0,13.1,9.6,14.3,2869796864,36.9,1747364688.401424
96.0,11.0,22.8,4.3,2869903360,36.9,1747364689.40366
96.0,10.5,14.1,19.0,2870390784,36.9,1747364690.405
93.1,6.3,6.9,19.6,2870333440,36.9,1747364691.406767
95.0,17.2,21.5,19.2,2870505472,36.9,1747364692.408491
96.9,12.4,22.4,1.0,2870636544,36.9,1747364693.410325
96.0,17.2,10.3,14.3,2870853632,36.9,1747364694.411502
96.0,16.3,9.3,14.4,2871771136,36.9,1747364695.412617
95.0,6.3,10.4,16.2,2871877632,36.9,1747364696.416316
96.9,7.4,19.6,20.0,2871504896,36.9,1747364697.41793
93.0,7.1,13.7,11.5,2871627776,36.9,1747364698.419005
96.0,7.1,21.6,20.8,2796761088,36.0,1747364699.42228
84.8,26.7,34.7,18.9,2615869440,33.8,1747364700.423595
28.4,95.0,15.2,24.5,2767196160,35.7,1747364701.429241
96.1,17.3,26.5,22.0,2816589824,36.3,1747364702.432066
96.0,17.0,10.1,12.2,2817048576,36.3,1747364703.433942
95.0,12.2,30.2,32.3,2838315008,36.5,1747364704.435077
26.0,17.0,21.4,82.0,2846547968,36.6,1747364705.436225
22.7,16.2,21.4,67.7,2864058368,36.8,1747364706.44169
13.1,14.1,6.1,96.0,2865598464,36.9,1747364707.443208
6.1,1.0,3.1,95.0,2863636480,36.8,1747364708.444364
16.0,54.5,7.2,96.0,2868019200,36.9,1747364709.446128
31.6,25.5,70.0,94.9,2872602624,36.9,1747364710.447941
96.0,15.3,13.7,94.0,2875441152,37.0,1747364711.453327
96.0,15.6,15.0,94.1,2875670528,37.0,1747364712.454832
12.0,5.0,13.1,94.9,2875432960,37.0,1747364713.459259
11.1,10.0,5.1,95.0,2874904576,37.0,1747364714.460565
15.0,9.2,12.2,94.9,2874900480,37.0,1747364715.461852
17.8,39.8,56.9,6.1,2875887616,37.0,1747364716.464572
37.4,7.1,69.0,9.2,2875129856,37.0,1747364717.470043
95.0,11.0,12.1,14.1,2875338752,37.0,1747364718.472101
96.0,3.0,12.1,8.1,2875330560,37.0,1747364719.473359
95.9,10.0,9.1,15.3,2875858944,37.0,1747364720.475038
92.9,12.1,9.6,15.1,2875666432,37.0,1747364721.476834
97.0,11.9,1.0,10.0,2875207680,37.0,1747364722.478357
27.6,53.5,31.0,13.0,2874834944,37.0,1747364723.48008
12.0,84.2,13.1,11.5,2874834944,37.0,1747364724.482327
15.0,8.1,96.0,8.2,2874564608,37.0,1747364725.484379
8.2,16.2,92.0,12.9,2875662336,37.0,1747364726.486183
8.9,16.2,95.0,4.1,2875600896,37.0,1747364727.489887
7.1,20.0,91.0,6.0,2875330560,37.0,1747364728.491659
13.0,95.0,2.0,13.4,2875330560,37.0,1747364729.494012
8.4,97.0,6.9,12.1,2875559936,37.0,1747364730.495858
17.2,62.4,30.0,21.0,2875400192,37.0,1747364731.49965
15.3,0.0,96.0,14.1,2875052032,37.0,1747364732.501474
3.1,78.0,19.2,16.2,2875035648,37.0,1747364733.503184
12.2,96.0,2.0,14.9,2875031552,37.0,1747364734.504741
15.2,96.0,8.0,16.0,2876538880,37.0,1747364735.506133
9.1,90.0,8.1,13.3,2876706816,37.0,1747364736.507837
12.1,96.0,6.0,14.1,2876424192,37.0,1747364737.509619
15.2,34.3,2.0,74.7,2876260352,37.0,1747364738.511332
8.0,2.0,65.7,44.6,2876256256,37.0,1747364739.513043
53.5,8.1,40.0,32.3,2875985920,37.0,1747364740.517958
91.0,12.0,9.3,12.1,2876002304,37.0,1747364741.519866
96.0,6.1,4.1,14.0,2875944960,37.0,1747364742.521404
96.0,8.0,7.3,11.2,2875953152,37.0,1747364743.523209
72.7,7.1,13.4,35.0,2875432960,37.0,1747364744.524893
96.0,10.1,15.3,14.0,2875916288,37.0,1747364745.526283
95.9,15.3,9.0,13.9,2875928576,37.0,1747364746.527526
91.0,7.9,6.0,11.0,2876018688,37.0,1747364747.528721
95.0,14.0,4.1,15.0,2875899904,37.0,1747364748.530433
86.0,11.2,6.1,21.4,2875375616,37.0,1747364749.531653
94.9,7.1,10.1,12.1,2875383808,37.0,1747364750.533358
32.0,74.5,8.2,18.2,2875887616,37.0,1747364751.534718
7.0,97.0,6.1,16.8,2875736064,37.0,1747364752.537237
8.0,64.6,3.1,43.0,2875604992,37.0,1747364753.538934
6.1,95.0,4.2,16.0,2875604992,37.0,1747364754.540635
12.0,96.0,6.1,18.0,2875854848,37.0,1747364755.542396
7.1,94.9,10.0,16.8,2876104704,37.0,1747364756.54412
8.0,89.8,7.0,18.2,2874847232,37.0,1747364757.545866
16.2,2.0,9.2,96.0,2874834944,37.0,1747364758.547172
13.0,5.0,12.1,96.0,2874843136,37.0,1747364759.548693
13.1,22.4,14.0,83.3,2876100608,37.0,1747364760.550783
17.6,78.8,9.4,23.0,2876100608,37.0,1747364761.552987
7.0,92.1,15.2,10.1,2875850752,37.0,1747364762.554492
5.2,97.0,4.2,16.0,2876465152,37.0,1747364763.556809
11.1,57.6,43.6,9.0,2876362752,37.0,1747364764.558196
18.0,96.0,10.8,11.2,2877530112,37.0,1747364765.560074
19.6,96.0,11.2,9.1,2877161472,37.0,1747364766.561486
11.1,88.0,7.1,9.0,2877476864,37.0,1747364767.563791
21.0,91.0,7.1,9.1,2877366272,37.0,1747364768.565465
16.2,96.0,3.1,11.8,2877468672,37.0,1747364769.567188
15.2,95.0,7.1,14.0,2871664640,36.9,1747364770.568485
17.3,95.0,11.3,6.2,2870382592,36.9,1747364771.57025
17.6,95.9,10.0,4.9,2870484992,36.9,1747364772.571743
12.2,91.9,10.7,2.0,2870358016,36.9,1747364773.573332
18.0,96.0,9.0,2.0,2869325824,36.9,1747364774.575132
14.9,96.0,13.3,4.1,2869559296,36.9,1747364775.57669
17.0,95.0,13.5,5.1,2869542912,36.9,1747364776.578884
50.5,57.0,10.2,6.1,2869346304,36.9,1747364777.580083
90.1,2.0,7.1,16.5,2869260288,36.9,1747364778.581254
62.6,13.0,40.4,9.0,2869256192,36.9,1747364779.582786
3.0,48.5,66.3,11.5,2870005760,36.9,1747364780.584366
13.1,96.0,5.0,14.1,2871144448,36.9,1747364781.586126
22.0,87.0,11.2,8.1,2871050240,36.9,1747364782.587263
12.1,91.0,7.1,7.1,2871296000,36.9,1747364783.588773
11.1,96.0,3.0,10.8,2871275520,36.9,1747364784.592125
15.2,94.0,8.2,12.1,2869989376,36.9,1747364785.593753
40.6,3.0,76.0,13.0,2870509568,36.9,1747364786.595312
96.0,1.0,9.9,15.2,2869526528,36.9,1747364787.596804
91.0,1.0,12.1,18.0,2869706752,36.9,1747364788.598356
15.8,87.9,1.0,14.0,2869972992,36.9,1747364789.600219
96.0,11.8,10.9,14.3,2870480896,36.9,1747364790.60139
96.0,3.1,17.0,17.2,2870071296,36.9,1747364791.602883
17.2,84.2,3.0,19.2,2869686272,36.9,1747364792.604392
58.6,20.4,8.2,33.7,2869927936,36.9,1747364793.605724
80.6,13.1,18.4,14.9,2871218176,36.9,1747364794.608389
59.0,6.2,40.0,14.3,2870435840,36.9,1747364795.60957
96.9,18.8,4.0,15.2,2870816768,36.9,1747364796.610646
68.0,13.0,30.6,14.9,2870681600,36.9,1747364797.612229
93.9,6.1,3.0,17.2,2870661120,36.9,1747364798.613762
96.0,17.8,11.1,4.0,2870255616,36.9,1747364799.615369
87.9,8.2,23.5,21.4,2869886976,36.9,1747364800.617909
11.0,5.2,50.5,58.2,2869108736,36.9,1747364801.619709
47.5,14.1,40.4,32.3,2868920320,36.9,1747364802.621131
89.9,8.1,8.1,12.1,2868797440,36.9,1747364803.622227
62.4,44.4,9.2,13.0,2870349824,36.9,1747364804.629752
74.3,31.0,11.9,11.1,2870599680,36.9,1747364805.631275
96.0,6.9,12.1,13.1,2870353920,36.9,1747364806.634256
75.2,10.9,7.1,27.0,2870325248,36.9,1747364807.635367
31.0,22.4,10.1,64.6,2870317056,36.9,1747364808.63651
96.0,15.5,7.1,4.0,2872635392,36.9,1747364809.637645
65.0,18.4,36.7,5.0,2871631872,36.9,1747364810.638842
11.0,96.0,10.2,15.0,2871635968,36.9,1747364811.640356
5.1,90.9,4.1,16.2,2871431168,36.9,1747364812.642249
7.1,95.0,15.3,5.1,2871357440,36.9,1747364813.644284
9.9,96.0,13.4,16.2,2871386112,36.9,1747364814.646368
4.0,96.0,9.0,13.0,2871865344,36.9,1747364815.64777
11.0,11.3,71.7,37.0,2872635392,36.9,1747364816.649678
4.1,9.1,95.0,11.1,2872471552,36.9,1747364817.652509
9.1,14.0,90.0,15.2,2872610816,36.9,1747364818.654184
9.1,59.0,11.2,50.0,2871828480,36.9,1747364819.655464
13.4,7.0,4.0,95.0,2871316480,36.9,1747364820.65869
95.9,17.2,16.2,2.0,2871312384,36.9,1747364821.659978
96.0,16.3,9.2,6.1,2870128640,36.9,1747364822.66176
53.0,8.9,3.1,54.5,2870112256,36.9,1747364823.66292
92.0,14.7,22.0,5.0,2870763520,36.9,1747364824.664707
88.8,8.1,21.0,8.1,2870628352,36.9,1747364825.665974
95.0,12.9,16.0,4.0,2869854208,36.9,1747364826.66705
91.1,6.2,10.2,11.0,2869604352,36.9,1747364827.668211
95.0,8.1,18.2,4.1,2869587968,36.9,1747364828.669384
96.0,8.2,14.3,8.0,2870894592,36.9,1747364829.67059
96.0,4.1,18.0,6.1,2870935552,36.9,1747364830.671778
96.0,4.1,18.2,11.9,2870571008,36.9,1747364831.672834
96.0,7.9,13.0,6.1,2869788672,36.9,1747364832.673958
94.9,10.0,19.0,1.0,2870153216,36.9,1747364833.675165
96.0,8.2,13.0,7.0,2870116352,36.9,1747364834.676587
91.9,9.0,16.2,3.0,2869878784,36.9,1747364835.677972
96.0,7.2,21.2,5.1,2869764096,36.9,1747364836.679077
96.0,6.1,13.1,4.1,2869760000,36.9,1747364837.680162
